,expression,std_cent,std_rolloff,std_zcross,std_flt,avg_bw,avg_ctr,std_ctr,cont_rating
0,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),19.04901512281648,6.771270778380637,0.018510012202393344,6.766318256268278e-05,1346.5827509259,89.02342985389042,29.524912104126624,0
1,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),123.76295869281077,110.29663111964291,0.056105090504991094,0.012509307824075222,1247.9293947092008,19.27722754237101,6.0447836391298955,5
2,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),109.70664800003499,101.7360153763587,0.015501033796809649,0.0013806852512061596,1256.2966366324326,25.69595300388784,9.577911340458542,5
3,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),73.80200126806228,205.10398289008245,0.003914257407220967,0.002382221631705761,1098.5408399546554,17.82378154132847,5.596369155458507,10
4,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),113.52774746370707,154.79490144780533,0.045806332667913056,0.00299097434617579,1164.376974803524,21.617211140359633,4.12651237708202,60
5,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),326.29025551157616,649.9706717320345,0.12435524630330902,0.003018753370270133,1213.7137001772744,38.249148132646845,25.420968913583724,45
6,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),425.4570135933671,1193.6700003871638,0.2459645782661041,0.1026916354894638,1164.1402336961519,44.01143498533902,31.788372822001286,10
7,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),141.93444984369145,104.93803750511968,0.0,0.0017918170196935534,1509.774956430251,71.98921619124131,15.206692709090836,10
8,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),226.03379713942675,280.9879640487055,0.06216439690858406,0.010439522564411163,1136.9456727623285,53.28084446770382,34.62695694597361,90
9,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),139.39583761349388,211.96619919272345,0.015296907021603941,0.003188213799148798,1334.9820847672477,26.56743195558464,7.162047206772699,5
10,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),110.40019334481076,73.14846269767764,0.03732269656069264,0.01572524942457676,1342.1420144949382,19.40540163142049,3.561152588383986,5
11,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),97.27563754209382,241.75788516971528,0.002529559657663484,0.0012727266876026988,991.1442126681889,27.141085718728977,10.408672907555514,0
12,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),122.1362873662898,167.2346409231302,0.07294800627512334,0.045925501734018326,1281.687496806791,21.664568348161293,6.25165641691457,5
13,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),196.1744174563376,405.7179804427909,0.08828053710827996,0.0016842229524627328,1304.748677043691,22.86104031234507,6.0796274092850435,15
14,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),97.83025930842608,3.411796899697501,0.189649828572307,0.0023726827930659056,1417.4767379893633,23.997476419778263,15.226086991116132,5
15,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),107.36918869476686,176.95435390480685,0.0,0.0025257884990423918,1433.8908193850307,66.24577022827744,18.25099035784022,10
16,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),103.74429601663016,154.97250171686454,0.062121026147760834,0.009055635891854763,1301.0617036041765,30.604068240432664,17.537602590797615,10
17,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),108.60954921854986,147.70766995120917,0.0,0.04925819858908653,1255.2164588229039,15.494046067172757,3.7846208782926847,15
18,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),101.63368748181294,200.22769885678892,0.05308022821078978,0.0012967960210517049,997.7689200631303,67.66239376986294,27.32427076605464,15
19,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),118.26714796158525,181.35805695406978,0.06316174554843056,0.006804021541029215,1319.759578061858,22.495588801012595,5.321219539069729,20
20,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),167.98848686647108,245.21767323997508,0.0573739236609379,0.0009217475890181959,1013.2010692059442,79.38588801828527,27.504140063144238,20
21,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),156.94776562111682,238.29595371199085,0.2640642456312277,0.002999884309247136,1294.805961578343,31.508465722552625,19.92076327378828,45
22,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),129.78406585920632,177.74025868595464,0.058940552709491646,0.002765909070149064,1190.7777077415717,67.52155785630691,33.632113534199114,50
23,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),244.34355312670112,354.54611593111593,0.06983284853461177,0.0019510837737470865,1258.957202037009,30.340860095303313,11.21708554283507,75
24,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),189.09533836850213,261.5522757455624,0.08373829660632529,0.046781569719314575,1275.6942840949737,27.863226059607836,10.285687846658544,80
25,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),174.03843748548644,277.1855906617287,0.11710148454336551,0.006853389088064432,1308.9160558275291,79.7512654703985,27.74413128485464,25
26,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),246.34730298264827,323.2227224784397,0.23757568759828065,0.006622179877012968,1431.5232416858235,40.48303524035098,29.05758217338497,30
27,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),188.59749677724096,348.2873727906444,0.0,0.13344234228134155,1278.821506045854,15.76051146696835,4.9327122823896605,35
28,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),288.0914485851207,401.37536917639403,0.12253025016136232,0.04583273082971573,1252.9429417541553,22.901131684397537,5.407880886782287,40
29,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),78.83586540856675,199.58789003661545,0.0164358737438421,0.0017236991552636027,999.2247907973075,22.854141615556642,6.000552631468073,65
30,(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),267.4690511318675,792.2482218272226,0.1171476460066297,0.0008198374416679144,771.3499988264559,34.411116801215826,18.835002073255712,10
