,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,rating,expression
530,117.1875,950.9714387466928,147.37902120240147,2437.549973347548,343.61273154727917,0.00146484375,0.0,0.0030776020139455795,0.004266950301826,1168.1166166831626,39.121248380116,23.728130520420255,15,((t%1)*3)-(((t|(t|(t&1)))>>4)|(((t&3)^(t&4))*8))
531,187.5,1301.362241522956,125.11679578459912,2983.2256130063965,229.59300391232838,0.03320624833422175,0.0065773493415039325,0.019579483196139336,0.00657168123871088,1240.5007252768123,26.18891572114598,13.618325076458483,25,((t&((((t^9)&12)>>10)&9))^7)+(t^(t>>10))
532,117.1875,1998.1833862243557,115.58436693186712,3423.3825293176974,235.63435611411262,0.49852370402452023,0.03941898149864433,0.016004901379346848,0.01715994067490101,1169.0368140607002,36.947030029966655,30.638459321824456,50,((t-(t>>11))*8)*(t&(t|(t*7)))
533,117.1875,1160.2450833029059,131.66230869065504,2939.857076226013,44.648356047878984,0.12605985141257997,0.00431923584679916,0.0046074409037828445,0.006989974994212389,1115.777164887213,64.83951930060071,33.52898330227823,10,t>>(t*((t&4)*((t&(t*4))*3)))
534,117.1875,1644.189196449199,273.88641628550243,3187.9164445629,218.32590634728055,0.15465605843550106,0.09471611650521003,0.11780964583158493,0.08414876461029053,1230.8745145395324,18.287464069616338,4.983882225473264,10,((t^10)|((t>>(t%10))-(t*(t&7))))&((t>>9)&6)
535,58.59375,654.1801227224901,95.25693473871554,1676.5058635394457,255.90436049922093,0.003929154450959488,0.003232368750914826,0.002528331009671092,0.0023315269500017166,990.3003054110278,24.01288579306989,6.63982671103165,15,(((t&3)>>3)^((t>>5)^(t%3)))|(t-3)
536,133.92857142857142,1795.368228401878,134.18889569376273,3304.35434434968,121.69056082772454,0.3713915078624733,0.08973149897638286,0.4460022747516632,0.0546732172369957,1201.2060141521083,13.850058954814067,2.4789239350827557,25,(t*(t>>6))/((t&(((t^5)*4)&(t>>5)))+7)
537,133.92857142857142,1779.2205271531516,219.55014138296207,3266.3329557569296,246.57639173498129,0.3466016041444563,0.15608984868325593,0.059215009212493896,0.05765208601951599,1174.2079224080971,24.195795825611327,5.32366256565122,75,((t&8)*(t^6))^((((t*9)&(t>>8))*9)%(t|(t^6)))
538,58.59375,1716.038014004993,143.56375493728666,3318.155317164179,195.67995569108353,0.2596313216284648,0.10557847118009714,0.026543693616986275,0.0059610395692288876,1279.7936215593886,23.86781425507693,4.174398776345726,15,((t*9)^6)&(((t-7)>>5)*(((t&10)&5)^(t%6)))
539,66.96428571428571,1049.2613040868393,160.7681733508661,2530.883528784648,224.63824340445936,0.02318034548240938,0.018443075037217246,0.004408407490700483,0.0040580774657428265,1148.9713697787122,24.308561090256973,6.5903734635000175,50,((t&(t|(t^2)))*6)&((((t*4)*9)>>10)^(t&9))
540,117.1875,893.4026336422232,123.79237147458848,2191.7477345415778,223.86957707523302,0.025284431636460554,0.01028629851292512,0.04184168577194214,0.02641364000737667,1079.8511575948075,15.39080569719479,3.3062589879208377,5,((t|(t*13))|((t&12)+(t%((t^15)|12))))*((t/13)/(t|11))
541,0.0,1746.100395333454,109.53828096388541,3313.3328891257997,107.17345160877905,0.2514138292910448,0.03201737641260991,0.14333534240722656,0.0093781016767025,1262.5614061045978,15.586479249937833,5.1600299465870725,5,((t+5)+6)&((t>>5)*(t*6))
542,117.1875,1880.0164499624364,339.3738114382275,3316.048107675906,328.23846437971196,0.49871318630063965,0.24382716026673765,0.016333727166056633,0.009304417297244072,1211.4714094818087,21.782501339591732,6.742759085564118,25,((t*9)%8)*(((t>>7)&(t&8))^((t>>6)-9))
543,58.59375,1187.512540906218,345.98977822515815,2949.160447761194,699.0199891820969,0.16948148487473347,0.11505952419399054,0.0029309664387255907,0.005890362896025181,1292.1066629925822,35.2865933757912,19.972922450784537,20,(t+(t&9))>>((t&((t&12)-(t*(t&13))))|8)
544,117.1875,1662.5824210117528,134.34445010889115,3284.65651652452,242.58751554883344,0.2494044842750533,0.05636352482759852,0.04598814621567726,0.013172670267522335,1307.4658446196463,22.120475392073725,4.724202732321368,20,(t^8)&(((t>>9)*(t&(t*11)))*8)
545,117.1875,1510.7140699142378,141.05975586201453,2968.41684434968,183.66759544519832,0.3234233408848614,0.08708404034476945,0.023900223895907402,0.009367655962705612,1149.3633795902072,20.16631787442467,6.55456575926214,15,((t|7)>>(t&6))>>(((t>>3)>>7)&(t&11))
546,117.1875,1722.119483212304,86.66049028393826,3412.488339552239,128.17271411615408,0.1828254097814499,0.04933134915149615,0.006699197925627232,0.002119936980307102,1313.9003854819598,29.455206181004133,4.384918738985051,10,(t&10)&((t|(t>>5))*((t+(t>>8))&8))
547,0.0,1246.8004345628456,104.9547908959509,2443.338552771855,20.84644114591042,0.15594807769189764,0.004030173052296242,0.006961491424590349,0.002975204261019826,1017.912397509577,26.346774920421563,5.748897304855237,10,((t>>7)^(t|5))&(((t>>4)^(t&((t&6)*5)))&9)
548,46.875,1270.7494079503558,18.966519617352425,2722.764525586354,72.7997144893597,0.06235007995735608,0.0018510012202393338,7.181709952419624e-05,0.0007979985675774515,1087.9586274929331,39.79563445474674,12.472145803879844,5,((t-12)*8)^(((t*12)&12)^((t>>10)%10))
549,117.1875,1995.9966713682202,71.09717675535829,3535.289512260128,117.18270442582312,0.3116400419776119,0.032875806468232766,0.07193164527416229,0.007290354464203119,1279.4374854877578,18.24832461123673,5.058630961627564,10,((((t&3)&4)^(t>>(t&4)))*((t*7)^4))%(t|5)
550,93.75,613.5831407637353,37.582682192035875,1575.976146055437,102.98132631509168,0.0014596381929637527,5.942548637739179e-05,0.00848440919071436,0.002284939866513014,970.4890537299784,6.72834219964341,6.973682756751687,0,t/(((t*4)&(t&4))|5)
551,117.1875,1116.8125534257056,108.2049977190476,2898.679037846482,338.4225792094952,0.011708338885927505,0.00047817511373787785,0.016332583501935005,0.002656051656231284,1249.0031348245357,21.863389648270143,6.60181303386822,0,((((t&7)&7)&6)|(t+6))-(t>>8)
552,117.1875,1149.2914982564012,345.0044648895311,2315.0069962686566,545.2838248571067,0.14457914112473347,0.13070451028121738,0.0005653146072290838,0.0034216945059597492,1084.5877689114382,37.20178061323162,8.601417386144737,0,(t>>9)|((t|((t%7)>>5))*((t|5)&6))
