expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,cont_rating
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),29.296875,1504.442,244.3435531,3056.319963,354.5461159,0.280418152,0.069832849,0.003374352,0.001951084,1258.957202,30.3408601,11.21708554,75
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),29.296875,1588.228709,189.0953384,3193.122002,261.5522757,0.474537538,0.083738297,0.012031584,0.04678157,1275.694284,27.86322606,10.28568785,80
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),29.296875,1551.029927,174.0384375,3215.843217,277.1855907,0.50233209,0.117101485,0.002589526,0.006853389,1308.916056,79.75126547,27.74413128,25
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),30.24193548,1617.846287,246.347303,3460.054638,323.2227225,0.50788746,0.237575688,0.006676809,0.00662218,1431.523242,40.48303524,29.05758217,30
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),117.1875,1642.800927,188.5974968,3325.251533,348.2873728,0,0,0.223009557,0.133442342,1278.821506,15.76051147,4.932712282,35
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),66.96428571,1572.852411,288.0914486,3095.240872,401.3753692,0.360168327,0.12253025,0.025742088,0.045832731,1252.942942,22.90113168,5.407880887,40
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),33.48214286,666.1209057,78.83586541,1714.477279,199.58789,0.022889875,0.016435874,0.001539494,0.001723699,999.2247908,22.85414162,6.000552631,65
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),44.64285714,420.5127797,267.4690511,881.9879398,792.2482218,0.095849922,0.117147646,9.38E-05,0.000819837,771.3499988,34.4111168,18.83500207,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),44.64285714,1409.169629,219.4298694,3061.250666,407.1915163,0.364073536,0.124320753,0.008677839,0.001743728,1300.701709,20.89393046,7.251819095,40
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),49.34210526,1642.695067,161.315133,3257.620936,184.8716745,0.503612657,0.248817384,0.008987227,0.004385037,1289.9346,25.38849096,5.836243844,20
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),234.375,1790.585487,127.2008278,3689.523921,144.3294257,0.447307269,0.159396271,0.015713427,0.010985161,1512.259065,22.45745554,5.539370235,25
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),117.1875,1567.588018,440.966979,3030.641991,503.5328171,0.398198044,0.301821965,0.039404169,0.015320486,1214.488972,17.46642551,6.058000059,80
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,686.3580524,81.73604038,1749.675173,183.0498614,0.024770123,0.013074551,0.003334283,0.003668544,1002.227693,24.05240092,6.996672573,0
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1021.846436,343.4687958,2636.04411,438.2252398,0.068166769,0.167552656,7.08E-05,0.000599316,1253.453883,70.01979069,33.39529008,0
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,846.8134185,726.7032111,1651.544176,1510.743345,0.092045701,0.11837694,0.000371236,0.002156846,1028.967946,52.40725903,33.34784197,0
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1552.877409,154.5250233,3930.553705,37.46349916,0.490974605,0.02007656,0.000641225,0.0014761,1703.734255,57.46292815,21.67047401,5
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1675.121438,156.7792291,3259.419976,211.0518816,0,0,0.10228619,0.022725727,1220.779584,20.4423971,4.065273945,5
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1700.714468,75.81066499,3279.442631,85.47943898,0,0,0.01476384,0.002702188,1246.476708,26.40647993,4.524843974,5
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,609.2119354,128.8535196,1509.794776,405.1395876,0.010295551,0.009893228,0.002808651,0.002134315,1002.809506,15.55921974,6.815742559,5
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,460.3738721,88.91324706,1089.552239,310.0989468,0.024854453,0.006519691,0.000383778,0.000385077,876.9194133,25.02365558,7.594345764,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1552.282416,99.28516266,3219.008196,78.70233915,0.422054071,0.043843611,0.00715554,0.005753952,1303.843412,26.52568576,4.835292615,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1828.445168,93.99367027,3709.496602,140.1716386,0,0,0.029926049,0.006608604,1451.670872,23.52627463,3.403698335,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1228.366334,83.29467618,2337.928105,153.0656076,0.244852745,0.021882861,0.016521808,0.008096781,1022.505342,23.7084236,5.825856389,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1782.088239,126.2882587,3318.338553,162.9547096,0.437372984,0.054692251,0.048614394,0.011350949,1252.689132,22.79761729,3.442196132,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,682.9098981,76.53969834,1743.936567,177.2108718,0.013211704,0.005056778,0.002800128,0.00209556,1001.375718,23.6737132,6.487459212,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),117.1875,655.1313828,112.1808118,1674.415312,255.789899,0.012127907,0.007092863,0.003299123,0.005665058,989.1506343,55.46710539,33.01915606,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1768.564077,330.1572433,3194.521255,383.4703318,0.500324827,0.278532688,0.045129322,0.007766658,1215.377179,18.23711419,6.48548228,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,687.3064418,82.87221313,1751.282649,186.8904303,0.023562433,0.014119428,0.003335784,0.003605178,1002.545162,23.91740562,6.803554959,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,913.5830445,66.05232106,2987.931437,18.40718509,0,0,0.001133898,0.003237214,1043.181338,50.61967286,22.12894141,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,677.9194944,75.60727105,1721.315299,173.5036956,0.014475613,0.006120234,0.003158651,0.003463815,995.473535,23.91572575,6.889323564,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,684.1261635,76.37084625,1746.668443,172.6705412,0.023289662,0.009361186,0.003128142,0.003422333,1004.236489,23.83921715,6.773310314,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,445.5795556,92.54203786,1025.219883,333.6739237,0.009815598,0.004207917,0.000347819,0.000350138,862.9945944,24.87287177,7.547828356,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,682.8048851,79.06168993,1744.111474,184.4494742,0.013211704,0.005056778,0.002688094,0.002021312,1001.186538,23.69729054,6.606094226,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,687.5006609,83.05949827,1751.874001,187.2363317,0.02110541,0.011731052,0.00335769,0.003653906,1002.555024,23.87531876,6.900406644,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,687.3064418,82.87221313,1751.282649,186.8904303,0.023562433,0.014119428,0.003335784,0.003605178,1002.545162,23.91740562,6.803554959,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),117.1875,1175.153596,254.0123741,2769.239739,546.7372105,0,0,0.09316951,0.172017753,1188.699041,16.75413237,3.917207763,10
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1542.940294,78.9845004,3157.807503,104.0815723,0.167698061,0.038785492,0.020333756,0.003734796,1269.353683,21.57254345,5.850230308,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),62.5,1589.375137,205.2388535,3256.854678,257.4822121,0.359898679,0.136163789,0.06129238,0.017178841,1281.270779,17.15881018,5.141792345,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,686.1022209,82.39616709,1750.016658,187.0702218,0.015441764,0.006583644,0.003382467,0.003649501,1002.069957,23.8120418,6.890809911,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),62.5,1485.110659,265.9385146,3060.917511,409.4589665,0.355886236,0.115594087,0.015610092,0.003414209,1280.670141,18.50280284,7.671816361,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),62.5,1485.110659,265.9385146,3060.917511,409.4589665,0.355886236,0.115594087,0.015610092,0.003414209,1280.670141,18.50280284,7.671816361,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,698.2009108,72.14597455,1790.386794,162.4421736,0.0225942,0.011934254,0.003476572,0.003141331,1013.045949,22.72048119,6.550567522,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1778.708641,157.9249831,3486.773721,106.1608844,0,0,0.001635123,0.004548091,1415.925641,45.57242496,18.63892206,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1685.669636,161.2779045,3429.354344,220.4022941,0.498133287,0.077729974,0.012227764,0.001901536,1436.291204,23.09082071,6.107324477,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,460.3738721,88.91324706,1089.552239,310.0989468,0.024854453,0.006519691,0.000383778,0.000385077,876.9194133,25.02365558,7.594345764,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,687.5006609,83.05949827,1751.874001,187.2363317,0.02110541,0.011731052,0.00335769,0.003653906,1002.555024,23.87531876,6.900406644,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1074.098495,84.01796347,2237.689899,8.710865601,0.215030109,0.00883552,0.000825069,0.001791075,1022.838275,57.34613795,17.06638633,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1572.790415,169.2114338,3586.6871,110.4121944,0.338746419,0.08950866,0.014278079,0.007011163,1488.516894,23.93483786,5.082294972,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1140.719064,131.0281271,2665.595016,284.8287715,0.151951251,0.040229627,0.016629681,0.004516653,1203.328279,18.5402088,5.310765456,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,659.503256,94.05666822,1761.352279,326.8852162,0.008940024,0.002770054,0.000897214,0.001048651,1022.506354,33.0428362,20.56263822,15
(t>>8)&(((t>>11)&(t+(t*10)))|(((t|11)&9)^((t*(t^4))^6))),58.59375,1449.343238,157.9341252,3850.96282,71.33847887,0.268193422,0.077587572,0.003940997,0.00293824,1622.905301,23.56161502,6.302654802,15
