,expression,rating,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/
624,(t&((t&7)&10))*((t>>9)*((t&(t|5))*7)),30,29.296875,1814.428845,160.5881375,3225.6962949999997,266.8234291,0.373944313,0.075257137,0.025775542000000002,0.003999411,1183.116156,23.03033008,5.062505098,5,5,5,9,0,7,1,0,1,0,0,0,0,0,0,0,1,3,4,0,0,1,0,0,0
625,(((t%7)&8)>>((t*4)*7))|((t|5)*((t>>5)|(t>>4))),10,0.0,1248.122054,98.33066164,2333.472148,25.56934618,0.153885636,0.041760861,0.11203555,0.01608414,1018.651586,17.53195753,5.167552916,4,7,5,11,3,5,1,0,0,0,0,0,1,0,0,0,3,3,1,0,1,3,0,0,0
626,(t|(((t^7)*6)|(t|6)))&(t>>7),25,234.375,917.5520152999999,256.3632279,2142.95709,551.7837574,0.025886193999999998,0.026044482,0.003127934,0.007271278000000001,1069.788247,28.44352294,6.895932514,5,4,4,7,0,6,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,3,0,0,0
627,t-(((t*6)*(t>>8))&(((t|2)>>5)^(t*(t^7)))),10,29.296875,1838.125329,218.6633852,3285.664312,224.69104240000001,0.364395239,0.119355751,0.365392625,0.059074521,1189.988227,16.04986997,3.080959375,5,5,6,10,2,5,2,0,0,0,0,0,0,1,0,0,2,3,1,2,0,1,1,0,0
628,((t^(t%2))>>5)|((t-((t>>5)&(t&2)))*6),30,58.59375,1041.566054,134.0952879,2479.6358609999997,208.58572030000002,0.023328183,0.019210736000000003,0.00510377,0.004384395,1118.970132,24.0592933,6.258745553,5,5,5,9,2,4,1,0,0,0,0,0,1,0,0,0,2,1,2,1,1,1,1,0,0
629,((t&(t%8))&(t*9))&(t&(t>>((t&9)%(t|8)))),30,117.1875,1672.6368009999999,201.77310549999999,3311.983609,236.7315978,0.404873651,0.061855727,0.004330737,0.002050811,1301.185276,22.74034974,9.36525703,5,4,7,10,2,8,0,0,0,1,0,0,0,0,0,0,1,1,5,0,2,1,0,0,0
630,(((t>>8)|((t%10)%11))|6)>>(((t>>7)*(t^12))&9),25,117.1875,1757.9683510000002,368.170547,3259.669843,335.13294229999997,0.293867229,0.20538920000000002,0.034513056,0.027255209,1237.0428650000001,24.66684513,6.519586682999999,5,7,4,10,1,9,2,1,0,0,0,0,0,0,0,0,3,1,1,1,2,2,0,0,0
631,t|((t^(t>>6))>>(((t|4)>>7)&(t*4))),25,117.1875,1141.168302,146.12600519999998,2752.473681,385.5459599,0.034608625,0.023976901000000002,0.0211043,0.007467161,1210.9186619999998,21.83042097,4.7206401289999995,5,4,5,8,2,5,1,0,0,0,0,0,1,0,0,0,3,1,1,1,0,2,0,0,0
632,(t>>10)*((t&11)^(((t>>9)*10)>>(t|14))),25,93.75,1892.770725,458.04087680000004,3440.181903,712.8564341,0.519545826,0.245104202,0.00112715,0.002837128,1259.4685550000002,30.42503038,15.79618922,5,5,4,8,0,10,1,0,1,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0
633,(t&(t>>5))^(t>>((((t*-1)&(t|2))>>3)>>(t+(t%-1)))),15,58.59375,645.8364619,110.32590900000001,1634.028518,311.95421789999995,0.003923949,0.0030217990000000004,0.002826429,0.00306361,981.1366004,23.78660067,6.767028065,6,5,7,11,3,2,1,0,0,0,1,0,0,0,0,0,4,0,2,1,0,1,2,1,0
634,(t&6)*(((t&2)|(t&7))|((t&(t*10))>>7)),0,58.59375,1190.270091,180.2510622,2490.121935,314.41337200000004,0.173297158,0.080913888,0.007753047,0.0053729680000000005,1071.965266,20.80180588,7.84543884,5,5,5,9,1,6,2,0,1,0,0,0,0,0,0,0,1,2,4,0,0,2,0,0,0
635,((t&7)>>(t%9))*(t/10),5,93.75,1544.566318,70.61701489,3103.977878,80.03859004,0.14942135,0.014275498999999999,0.021703916,0.002920034,1220.831964,22.68089128,5.0513847919999995,3,3,3,5,0,8,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
636,((t|(t&2))&2)+((((t*(t*2))&(t*4))>>5)-4),15,117.1875,1845.785457,37.00929884,3424.073827,85.18028472,0.34791236299999995,0.009659137,0.39136821,0.068926707,1228.096158,15.59234797,2.639686565,6,6,5,10,5,3,1,0,0,0,0,0,0,0,1,0,1,3,3,0,0,1,1,1,0
637,((((t|6)>>5)^6)*5)|((t>>5)&((t&(t&3))>>7)),0,156.25,642.6961772999999,49.21633715,1650.569696,132.7917085,0.0034085990000000004,0.0010969,0.008914839,0.004440513,983.4279261,14.87505439,6.400669281,5,7,4,10,0,5,1,0,0,0,0,0,1,0,0,0,3,1,3,1,0,2,0,0,0
638,(((t&5)|4)*(((t*6)>>5)|2))|(((t%4)>>8)*4),0,117.1875,1914.823059,98.44993520000001,3926.2976409999997,7.91963258,0.498766283,0.04915662,0.042052284,0.004933389,1604.9934119999998,18.61160081,4.211792898000001,5,8,3,10,5,4,1,0,0,0,0,0,1,0,0,0,2,3,1,0,1,3,0,0,0
639,((t^(t|6))^((t>>8)|(t*5)))*((t>>7)^5),30,187.5,1890.801292,208.4104345,3391.757729,209.3782882,0.441911189,0.119556483,0.280407637,0.138920099,1206.0585199999998,17.21783582,3.9478998389999997,4,5,5,9,1,6,1,0,1,0,0,0,0,0,0,0,2,2,0,3,0,2,0,0,0
